PH,Turbidity,Dissolve Oxygen,Temp
7.05,251.35,3.0,25.87
7.04,251.35,1.0,25.94
7.05,251.35,3.0,25.94
7.04,251.35,1.0,25.94
7.04,251.35,0.0,25.87
7.04,251.35,-3.0,25.87
7.04,216.11,1.0,25.87
7.04,216.11,-2.0,25.94
7.04,216.11,1.0,25.87
7.04,216.11,4.0,25.94
7.04,216.11,-2.0,25.94
7.03,251.35,-4.0,25.87
7.04,216.11,-1.0,25.94
7.04,251.35,-2.0,25.94
7.03,251.35,-2.0,25.94
7.03,251.35,0.0,25.94
7.03,251.35,0.0,25.94
7.03,251.35,2.0,25.94
7.03,286.36,0.0,25.94
7.02,286.36,-5.0,25.94
7.03,286.36,-1.0,25.87
7.02,286.36,-2.0,25.94
7.02,251.35,0.0,25.87
7.03,251.35,-2.0,25.94
7.03,251.35,2.0,25.94
7.02,251.35,0.0,25.94
7.02,251.35,2.0,25.87
7.03,251.35,-2.0,25.87
