PH,Turbidity,Dissolve Oxygen,Temp
7.08,251.35,18.0,27.31
7.1,216.11,-4.0,27.31
7.13,216.11,29.0,27.37
7.12,180.66,11.0,27.44
7.13,216.11,13.0,27.44
7.12,216.11,5.0,27.44
7.11,216.11,4.0,27.5
7.11,216.11,26.0,27.5
7.14,216.11,0.0,27.56
7.11,251.35,17.0,27.56
7.11,216.11,-17.0,27.56
7.12,216.11,18.0,27.56
7.1,216.11,14.0,27.56
7.11,216.11,-17.0,27.62
7.12,251.35,-3.0,27.62
7.13,216.11,31.0,27.62
7.08,216.11,16.0,27.62
7.08,216.11,-10.0,27.62
7.08,286.36,9.0,27.62
7.12,216.11,5.0,27.62
7.1,251.35,13.0,27.62
7.09,251.35,-32.0,27.62
7.06,251.35,2.0,27.62
7.09,251.35,6.0,27.62
7.1,251.35,9.0,27.62
7.07,251.35,-1.0,27.62
7.08,251.35,21.0,27.62
7.06,251.35,1.0,27.69
7.1,251.35,-12.0,27.69
7.12,251.35,-13.0,27.69
7.08,251.35,-5.0,27.62
7.08,251.35,-5.0,27.62
7.06,251.35,2.0,27.69
7.04,251.35,-24.0,27.69
7.06,251.35,-4.0,27.69
7.05,251.35,-7.0,27.69
7.04,251.35,-3.0,27.62
7.04,251.35,-2.0,27.69
7.04,251.35,-1.0,27.69
7.06,251.35,-2.0,27.62
7.06,286.36,-1.0,27.75
7.06,251.35,4.0,27.62
7.07,286.36,-6.0,27.69
7.07,251.35,-10.0,27.69
7.06,251.35,-6.0,27.69
7.06,251.35,-5.0,27.69
7.07,251.35,-5.0,27.69
7.06,251.35,-1.0,27.69
7.06,251.35,-4.0,27.69
7.04,251.35,-1.0,27.75
7.06,251.35,-2.0,27.69
7.04,251.35,5.0,27.69
7.04,251.35,9.0,27.75
7.03,251.35,-15.0,27.69
7.04,251.35,7.0,27.69
7.02,251.35,-8.0,27.69
